;class;message;not_stemmed;stemmed
323;ham;cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x;cud you tell ppl im gone b a bit l number cos number buses hav gon past cos they were full im still waiting number number pete x;cud tell ppl im gone b bit l number co number buse hav gon past co full im still wait number number pete x
324;ham;That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week;that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week;would great guild could meet bristol road somewher get touch weekend plan take flight good week
325;ham;No problem. How are you doing?;no problem how are you doing;problem
326;ham;No calls..messages..missed calls;no calls messages missed calls;call messag miss call
327;ham;Hi da:)how is the todays class?;hi da how is the todays class;hi da today class
328;ham;I'd say that's a good sign but, well, you know my track record at reading women;i d say that s a good sign but well you know my track record at reading women;say good sign well know track record read women
329;ham;Cool, text me when you're parked;cool text me when you re parked;cool text park
330;ham;I'm reading the text i just sent you. Its meant to be a joke. So read it in that light;i m reading the text i just sent you its meant to be a joke so read it in that light;read text sent meant joke read light
331;ham;K.k:)apo k.good movie.;k k apo httpaddr movie;k k apo httpaddr movi
332;ham;Maybe i could get book out tomo then return it immediately ..? Or something.;maybe i could get book out tomo then return it immediately or something;mayb could get book tomo return immedi someth
333;spam;Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!;call germany for only number pence per minute call from a fixed line via access number number number number number no prepayment direct access;call germani number penc per minut call fix line via access number number number number number prepay direct access
334;ham;Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.;any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or i will report you to your supervisor;chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
335;spam;Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.;valentines day special win over moneysymb number in our quiz and take your partner on the trip of a lifetime send go to number now number p msg revd custard number;valentin day special win moneysymb number quiz take partner trip lifetim send go number number p msg revd custard number
336;ham;Ta-Daaaaa! I am home babe, are you still up ?;ta aaaaa i am home babe are you still up;ta aaaaa home babe still
337;ham;Cool. So how come you havent been wined and dined before?;cool so how come you havent been wined and dined before;cool come havent wine dine
338;ham;Just sleeping..and surfing;just sleeping and surfing;sleep surf
339;ham;Sorry, I'll call later;sorry i ll call later;sorri call later
340;ham;U calling me right? Call my hand phone...;u calling me right call my hand phone;u call right call hand phone
341;ham;Ok that's great thanx a lot.;ok that s great than a lot;ok great lot
342;ham;I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him;i take it the post has come then you must have number s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him;take post come must number text happi read one wiv hello carolin end favourit bless
343;ham;Where u been hiding stranger?;where you been hiding stranger;hide stranger
344;ham;Am not interested to do like that.;am not interested to do like that;interest like
345;ham;My sister cleared two round in birla soft yesterday.;my sister cleared two round in bira soft yesterday;sister clear two round bira soft yesterday
346;ham;Gudnite....tc...practice going on;granite tc practice going on;granit tc practic go
347;ham;Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.;dis is pique i jus saw ur mail in case humming havent sent you my num dis is my num;di piqu ju saw ur mail case hum havent sent num di num
348;ham;One small prestige problem now.;one small prestige problem now;one small prestig problem
349;spam;Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X;fancy a shag i httpaddr httpaddr text uk suzy to number texts cost number per msg tncs on webster x;fanci shag httpaddr httpaddr text uk suzi number text cost number per msg tnc webster x
350;ham;Just checking in on you. Really do miss seeing Jeremiah. Do have a great month;just checking in on you really do miss seeing jeremiah do have a great month;check realli miss see jeremiah great month
351;ham;Nah can't help you there, I've never had an iphone;nah can t help you there i ve never had an phone;nah help never phone
352;ham;If you're not in my car in an hour and a half I'm going apeshit;if you re not in my car in an hour and a half i m going apeshit;car hour half go apeshit
353;ham;TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD;today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plc plc just slap ourself boz its ur fault i m basically good;today sorri day ever angri ever misbehav hurt plc plc slap ourself boz ur fault basic good
354;ham;Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed;yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed;yo guy ever figur much need alcohol jay tri figur much safe spend weed
355;ham;"&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.";lt gt ish minutes was number minutes ago wwf;lt gt ish minut number minut ago wwf
356;ham;Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.;thank you for httpaddr to say happy nam to you sirri i am fine here and remembered you when i met an insurance httpaddr you in qatar isha httpaddr ex tata aig who joined tissue taster;thank httpaddr say happi nam sirri fine rememb met insur httpaddr qatar isha httpaddr ex tata aig join tissu taster
357;spam;Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16;congratulations ur awarded number of cd vouchers or number gift guaranteed free entry number number wily draw text music to number tncs httpaddr;congratul ur award number cd voucher number gift guarante free entri number number wili draw text music number tnc httpaddr
358;spam;Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL;ur cash balance is currently number pounds to maximize ur cash in now send cash to number only number p msg cc phonenumber hg suite number number lands row w number j number hl;ur cash balanc current number pound maxim ur cash send cash number number p msg cc phonenumb hg suit number number land row w number j number hl
359;ham;I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.;i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday;actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday
360;ham;Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted;hello just got here st andrews boy its a long way its cold i will keep you posted;hello got st andrew boy long way cold keep post
361;ham;Ha ha cool cool chikku chikku:-):-DB-);ha ha cool cool chicks chicks db;ha ha cool cool chick chick db
362;ham;Oh ok no prob..;oh ok no prob;oh ok prob
363;ham;Check audrey's status right now;check audrey s status right now;check audrey statu right
364;ham;Busy here. Trying to finish for new year. I am looking forward to finally meeting you...;busy here trying to finish for new year i am looking forward to finally meeting you;busi tri finish new year look forward final meet
365;ham;Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always;good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always;good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway
366;ham;Well i know Z will take care of me. So no worries.;well i know z will take care of me so no worries;well know z take care worri
367;spam;Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=;update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins number text on orange call mobileupd number on phonenumber or call number opt-out f number q;update_now xma offer latest motorola sonyericsson nokia free bluetooth doubl min number text orang call mobileupd number phonenumb call number opt-out f number q
368;spam;Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546;here is your discount code rp number to stop further messages reply stop httpaddr customer services number;discount code rp number stop messag repli stop httpaddr custom servic number
369;ham;Wat uniform? In where get?;wat uniform in where get;wat uniform get
370;ham;Cool, text me when you're ready;cool text me when you re ready;cool text readi
371;ham;Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...;hello my bottom geese i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you;hello bottom gees miss alreadi woke wish bed cuddl love
372;ham;I will spoil you in bed as well :);i will spoil you in bed as well;spoil bed well
373;ham;"I'm going for bath will msg you next  &lt;#&gt;  min..";i m going for bath will msg you next lt gt min;go bath msg next lt gt min
374;ham;I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay;i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay;cant keep talk peopl sure pay agre price pl tell want realli buy much will pay
375;spam;Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994;thanks for your kington order reference t number you will be charged gbp number per week you can subscribe at anytime by calling customer services on number;thank kington order refer number charg gbp number per week subscrib anytim call custom servic number
376;ham;Can you say what happen;can you say what happen;say happen
377;ham;You could have seen me..i did't recognise you Face.:);you could have seen me i did t recognise you face;could seen recognis face
378;ham;Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going;well there s not a lot of things happening in lindsay on new years sighs some bars in pto and the blue heron has something going;well lot thing happen lindsay new year sigh bar pto blue heron someth go
379;ham;Keep my payasam there if rinu brings;keep my pagasai there if ring brings;keep pagasai ring bring
380;ham;I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..;i taught that raith sir called me so only i sms like that because hes verifying about project prahu told today so only pa dont mistake me;taught raith sir call sm like he verifi project prahu told today pa dont mistak
381;ham;I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.;i guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you should t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but httpaddr keep on following you up;guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri httpaddr keep follow
382;ham;Yeah sure, give me a couple minutes to track down my wallet;yeah sure give me a couple minutes to track down my wallet;yeah sure give coupl minut track wallet
383;ham;Hey leave it. not a big deal:-) take care.;hey leave it not a big deal take care;hey leav big deal take care
384;ham;Hey i will be late ah... Meet you at 945+;hey i will be late ah meet you at number;hey late ah meet number
385;spam;Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX;double mins and texts number number months free bluetooth on orange available on sony nokia motorola phones call mobileupd number on phonenumber or call number opt-out n number dx;doubl min text number number month free bluetooth orang avail soni nokia motorola phone call mobileupd number phonenumb call number opt-out n number dx
386;ham;It took Mr owl 3 licks;it took mr owl number licks;took mr owl number lick
387;ham;Customer place i will call you.;customer place i will call you;custom place call
388;ham;Mm that time you dont like fun;mm that time you dont like fun;mm time dont like fun
389;spam;4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt;number maths half price orange line rental latest camera phones number free had your phone number maths call mobilesdirect free on phonenumber to update now or number stott;number math half price orang line rental latest camera phone number free phone number math call mobilesdirect free phonenumb updat number stott
390;ham;Yup having my lunch buffet now.. U eat already?;yup having my lunch buffet now you eat already;yup lunch buffet eat alreadi
391;ham;Huh so late... Fr dinner?;huh so late fr dinner;huh late fr dinner
392;ham;Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ;hey so this sat are we going for the intro plates only or the kickboxing too;hey sat go intro plate kickbox
393;ham;Morning only i can ok.;morning only i can ok;morn ok
394;ham;Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down;yes i think so i am in office but my lap is in room i think thats on for the last few days i dint shut that down;ye think offic lap room think that last day dint shut
395;ham;Pick you up bout 7.30ish? What time are  and that going?;pick you up bout number ish what time are and that going;pick bout number ish time go
396;ham;From here after The performance award is calculated every two month.not for current one month period..;from here after the performance award is calculated every two httpaddr for current one month period;perform award calcul everi two httpaddr current one month period
397;ham;Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.;was actually sleeping and still might when you call back so a text is gr number you rock sis will send you a text wen i wake;actual sleep still might call back text gr number rock si send text wen wake
398;ham;You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.;you are always putting your business out there you put pictures of your ass on casebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated;alway put busi put pictur ass casebook one open peopl ever met would think pictur room would hurt make feel violat
399;ham;Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.;good evening sir al salam httpaddr a happy httpaddr the grace of god i got an offer from taster tissue and i httpaddr you are httpaddr allah meet you httpaddr from india;good even sir al salam httpaddr happi httpaddr grace god got offer taster tissu httpaddr httpaddr allah meet httpaddr india
400;ham;Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..;hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator;hmmm k want chang field quickli da wanna get system administr network administr
401;spam;FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop;free kington text first to number for a poly or text get to number for a true tone help number number number after number st free tones are number x moneysymb number pw to e moneysymb nd text stop;free kington text first number poli text get number true tone help number number number number st free tone number x moneysymb number pw e moneysymb nd text stop
402;ham;Dear how is chechi. Did you talk to her;dear how is check did you talk to her;dear check talk
403;ham;The hair cream has not been shipped.;the hair cream has not been shipped;hair cream ship
404;ham;None of that's happening til you get here though;none of that s happening til you get here though;none happen til get though
405;ham;"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour";yep the great loxahatchee xmas tree burning of lt gt starts in an hour;yep great loxahatche xma tree burn lt gt start hour
406;ham;Haha get used to driving to usf man, I know a lot of stoners;aha get used to driving to us man i know a lot of stones;aha get use drive us man know lot stone
407;ham;All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?;all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee old be good as can t stay late tomorrow same time place as always;well slightli disastr class pm fav darl hope day ok coffe old good stay late tomorrow time place alway
408;ham;Hello! Good week? Fancy a drink or something later?;hello good week fancy a drink or something later;hello good week fanci drink someth later
409;ham;Headin towards busetop;heading towards bus-stop;head toward bus-stop
410;ham;Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com;message some text missing sender name missing number missing sent date missing missing you a lot thats y everything is missing sent via httpaddr;messag text miss sender name miss number miss sent date miss miss lot that everyth miss sent via httpaddr
411;ham;Come by our room at some point so we can iron out the plan for this weekend;come by our room at some point so we can iron out the plan for this weekend;come room point iron plan weekend
412;ham;Cos i want it to be your thing;cos i want it to be your thing;co want thing
413;ham;Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ;skies i ll go yan jiu too we can skip and oso go cine den go mr one blah blah blah;sky go yan jiu skip oso go cine den go mr one blah blah blah
414;ham;Bring home some Wendy =D;bring home some wendy d;bring home wendi
415;spam;"100 dating service cal;l 09064012103 box334sk38ch";number dating service cal l phonenumber box number sk number ch;number date servic cal l phonenumb box number sk number ch
416;ham;Whatsup there. Dont u want to sleep;whatsit there dont you want to sleep;whatsit dont want sleep
417;ham;Alright i have a new goal now;alright i have a new goal now;alright new goal
418;spam;FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk;free entry into our moneysymb number weekly competition just text the word win to number now number t c httpaddr;free entri moneysymb number weekli competit text word win number number c httpaddr
419;ham;Alright, I'll head out in a few minutes, text me where to meet you;alright i ll head out in a few minutes text me where to meet you;alright head minut text meet
420;spam;Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p;send a logo number ur lover number names joined by a heart text love name number name number mono eg love adam eve phonenumber to number yahoo poor number w number we tito number no ads number p;send logo number ur lover number name join heart text love name number name number mono eg love adam eve phonenumb number yahoo poor number w number tito number ad number p
421;ham;Yes:)from last week itself i'm taking live call.;yes from last week itself i m taking live call;ye last week take live call
422;spam;Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p;someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landmine phonenumber poor number n number of number p;someon contact date servic enter phone fanci find call landmin phonenumb poor number n number number p
423;ham;Siva is in hostel aha:-.;siva is in hostel aha;siva hostel aha
424;spam;URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only;urgent your mobile number has been awarded with a moneysymb number prize guaranteed call phonenumber from land line claim number valid number hrs only;urgent mobil number award moneysymb number prize guarante call phonenumb land line claim number valid number hr
425;ham;"Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..";send this to ur friends and receive something about ur voice how is my speaking expression httpaddr httpaddr httpaddr httpaddr httpaddr of attitude httpaddr httpaddr httpaddr httpaddr lt gt irritating lt gt lovable reply me;send ur friend receiv someth ur voic speak express httpaddr httpaddr httpaddr httpaddr httpaddr attitud httpaddr httpaddr httpaddr httpaddr lt gt irrit lt gt lovabl repli
426;ham;Ok. She'll be ok. I guess;ok she ll be ok i guess;ok ok guess
427;ham;aathi..where are you dear..;path where are you dear;path dear
428;ham;Any pain on urination any thing else?;any pain on urination any thing else;pain urin thing els
429;ham;7 at esplanade.. Do ü mind giving me a lift cos i got no car today..;number at esplanade do a mind giving me a lift cos i got no car today;number esplanad mind give lift co got car today
430;ham;"I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob";i want to buy a bmw car urgently its very httpaddr he a shortage of lt gt httpaddr is no source to rang dis at lt gt lacs thats my prob;want buy bmw car urgent httpaddr shortag lt gt httpaddr sourc rang di lt gt lac that prob
431;ham;At home watching tv lor.;at home watching tv lor;home watch tv lor
432;ham;Does she usually take fifteen fucking minutes to respond to a yes or no question;does she usually take fifteen fucking minutes to respond to a yes or no question;usual take fifteen fuck minut respond ye question
433;spam;Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX;congrats nokia number video camera phone is your call phonenumber calls cost number ppm ave call number mins vary from mobiles number close number post cm number len wc number n number xx;congrat nokia number video camera phone call phonenumb call cost number ppm ave call number min vari mobil number close number post cm number len wc number n number xx
434;ham;Booked ticket for pongal?;booked ticket for postal;book ticket postal
435;ham;"You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th";you available now i m like right around hillsborough amp lt gt th;avail like right around hillsborough amp lt gt th
436;ham;"The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?";the message sent is skin for lt gt dollars should i pay lt gt or lt gt;messag sent skin lt gt dollar pay lt gt lt gt
437;ham;Ask g or iouri, I've told the story like ten times already;ask g or nouri i ve told the story like ten times already;ask g nouri told stori like ten time alreadi
438;ham;How long does applebees fucking take;how long does applebees fucking take;long applebe fuck take
439;ham;Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.;hi hope you get this text journey haunt been gd now about number mins late i think;hi hope get text journey haunt gd number min late think
440;ham;But i have to. I like to have love and arrange.;but i have to i like to have love and arrange;like love arrang
441;ham;Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.;yes he is really great haji told tallis best cricketer after sachin in world very tough to get out;ye realli great haji told talli best cricket sachin world tough get
442;ham;"You were supposed to wake ME up &gt;:(";you were supposed to wake me up gt;suppos wake gt
443;ham;Oic... I saw him too but i tot he din c me... I found a group liao...;oil i saw him too but i tot he din c me i found a group liam;oil saw tot din c found group liam
444;ham;Sorry, I'll call later;sorry i ll call later;sorri call later
445;ham;HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX;hey hey writhe monkeespeople say we monkeyaround rowdy gorgeous how doin foundurself a goblet sausage love jen xxx;hey hey writh monkeespeopl say monkeyaround rowdi gorgeou doin foundurself goblet sausag love jen xxx
446;ham;Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?;sorry my battery died i can come by but i m only getting a gram for now where s your place;sorri batteri die come get gram place
447;ham;Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ;well done blimey exercise yeah i kinda remember wot that is hmm;well done blimey exercis yeah kinda rememb wot hmm
448;ham;I wont get concentration dear you know you are my mind and everything :-);i wont get concentration dear you know you are my mind and everything;wont get concentr dear know mind everyth
449;ham;LOL ... Have you made plans for new years?;lol have you made plans for new years;lol made plan new year
450;ham;10 min later k...;number min later k;number min later k
451;ham;hanks lotsly!;hanks lovely;hank love
452;ham;Thanks for this hope you had a good day today;thanks for this hope you had a good day today;thank hope good day today
453;ham;K:)k:)what are detail you want to transfer?acc no enough?;k k what are detail you want to transfer acc no enough;k k detail want transfer acc enough
454;ham;Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.;ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month;ok tell stay yeah tough optimist thing improv month
455;spam;Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help';loan for any purpose moneysymb number moneysymb number number homeowners tenants welcome have you been previously refused we can still help call free number number or text back help;loan purpos moneysymb number moneysymb number number homeown tenant welcom previous refus still help call free number number text back help
456;ham;Si si. I think ill go make those oreo truffles.;si si i think ill go make those ore truffles;si si think ill go make ore truffl
457;ham;LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.;look at amy ure a beautiful intelligent woman and i like you a lot i know you don t like me like that so don t worry;look ami ure beauti intellig woman like lot know like like worri
458;ham;I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl;i hope you that s the result of being consistently intelligent and kind start asking him about practice links and keep your ears open and all the best tell;hope result consist intellig kind start ask practic link keep ear open best tell
459;ham;1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya;number that call cost which i guess int bad miss ya need ya want ya love ya;number call cost guess int bad miss ya need ya want ya love ya
460;ham;Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.;going thru a very different httpaddr decisions and coping up with the same is the same httpaddr will heal everything i believe;go thru differ httpaddr decis cope httpaddr heal everyth believ
461;ham;Where did u go? My phone is gonna die you have to stay in here;where did you go my phone is gonna die you have to stay in here;go phone gonna die stay
462;ham;Great. Never been better. Each day gives even more reasons to thank God;great never been better each day gives even more reasons to thank god;great never better day give even reason thank god
463;spam;UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available;upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on number number number offer ends number th july t c s apply opt out available;upgrdcentr orang custom may claim free camera phone upgrad loyalti call number number number offer end number th juli c appli opt avail
464;ham;Sorry, I'll call later ok bye;sorry i ll call later ok bye;sorri call later ok bye
465;ham;Ok i am on the way to railway;ok i am on the way to railway;ok way railway
466;ham;"great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)";great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love lt gt times per night;great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night
467;ham;They don't put that stuff on the roads to keep it from getting slippery over there?;they don t put that stuff on the roads to keep it from getting slippery over there;put stuff road keep get slipperi
468;ham;When are you going to ride your bike?;when are you going to ride your bike;go ride bike
469;ham;Yup, no need. I'll jus wait 4 e rain 2 stop.;yup no need i ll jus wait number e rain number stop;yup need ju wait number e rain number stop
470;ham;There are many company. Tell me the language.;there are many company tell me the language;mani compani tell languag
471;spam;okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm;mail dear dave this is your final notice to collect your number tenerife holiday or number cash award call phonenumber from landmine tcs sae box number cw number we number ppm;mail dear dave final notic collect number tenerif holiday number cash award call phonenumb landmin tc sae box number cw number number ppm
472;ham;How long has it been since you screamed, princess?;how long has it been since you screamed princess;long sinc scream princess
473;ham;"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...";nothing i meant that once the money enters your account here the bank will remove its flat rate someone transfered lt gt to my account and lt gt dollars got removed so the banks differ and charges also httpaddr sure you trust the number ja person you are sending account details to cos;noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also httpaddr sure trust number ja person send account detail co
474;spam;Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p;want number get laid tonight want real dogging locations sent direct number ur mob join the uk s largest dogging network by toting moan to number not ec number a httpaddr;want number get laid tonight want real dog locat sent direct number ur mob join uk largest dog network tote moan number ec number httpaddr
475;ham;Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:);nice line said by a broken heart plc don t cum number more times front of me other wise once again i ll trust u good number t;nice line said broken heart plc cum number time front wise trust u good number
476;ham;Ok I'm gonna head up to usf in like fifteen minutes;ok i m gonna head up to us in like fifteen minutes;ok gonna head us like fifteen minut
477;ham;Love you aathi..love u lot..;love you path love you lot;love path love lot
478;ham;Tension ah?what machi?any problem?;tension ah what macho any problem;tension ah macho problem
479;ham;K, can I pick up another 8th when you're done?;k can i pick up another number th when you re done;k pick anoth number th done
480;ham;When're you guys getting back? G said you were thinking about not staying for mcr;when re you guys getting back g said you were thinking about not staying for mr;guy get back g said think stay mr
481;ham;Almost there, see u in a sec;almost there see you in a sec;almost see sec
482;ham;Yo carlos, a few friends are already asking me about you, you working at all this weekend?;yo carlos a few friends are already asking me about you you working at all this weekend;yo carlo friend alreadi ask work weekend
483;ham;Watching tv lor...;watching tv lor;watch tv lor
484;ham;Thank you baby! I cant wait to taste the real thing...;thank you baby i cant wait to taste the real thing;thank babi cant wait tast real thing
485;ham;You should change your fb to jaykwon thuglyfe falconerf;you should change your fb to jackson thuglyfe falconer;chang fb jackson thuglyf falcon
486;ham;If we win its really no 1 side for long time.;if we win its really no number side for long time;win realli number side long time
487;spam;FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com;free message activate your number free text messages by replying to this message with the word free for terms conditions visit wow httpaddr;free messag activ number free text messag repli messag word free term condit visit wow httpaddr
488;ham;Dear reached railway. What happen to you;dear reached railway what happen to you;dear reach railway happen
